gene	original_net	random_net	t-statistic	pvalue
blpC	0.0002073948292638677	0.000377553934	85.86944991208551	0.0
shetA	0.0	0.0	nan	nan
accB	0.0029174092429203	0.0019342724959999999	-72.8670263558549	0.0
lytC	0.0019436157891803	0.001191391026	-211.13105399629274	0.0
SPD_0926	0.00019926932551255912	4.2356371e-05	-327.1907009248656	0.0
sufD	5.3498866507514045e-05	0.000161383936	101.10622474134976	0.0
recU	0.0007530014833352621	0.0006078161669999999	-23.881951450495347	4.388622339777283e-100
SPD_1928	0.0	0.0	nan	nan
spr0459	0.0	0.0	nan	nan
SPD_0270	2.159121912397485e-05	0.0008570844990000001	51.04723173012031	1.2358656003478733e-280
L-asparaginase	7.423641591115033e-05	0.000525091207	67.34470444194507	0.0
mreC	0.003948056563667	0.004749542342	30.94531789444147	5.4079724094096015e-148
cglC	0.0017672961519608	0.001010637736	-86.13331690123782	0.0
gap	0.0047902584945421	0.00326274731	-91.47928298205422	0.0
spr0817	0.0	0.0	nan	nan
SPD_1237	7.029117377564507e-05	0.00013514578699999998	13.023329998482206	6.326633490537801e-36
amiF	0.0081085986725479	0.001351608986	-630.924346790419	0.0
spr0968	6.841994134768947e-08	0.00040984924099999996	68.9245303953524	0.0
SPD_0691	0.0	0.00016180912799999999	38.14530668358838	3.549587226935464e-197
coaA	0.0002644105762763568	0.00024089467399999998	-3.2019521201694907	0.0014081084873127578
spr0895	0.0	0.0	nan	nan
pheT	0.0275976738856027	0.011544585571999999	-533.3482836330556	0.0
xseA	0.0005692265756571171	0.00046483937500000006	-18.465865466678103	9.862668104181864e-66
rexA	0.0093898119716946	0.001578538059	-360.0549039935101	0.0
SPD_1395	0.0	0.000710867961	49.26400132582165	1.371165153945807e-269
SPD_0423	0.00040602585705877206	0.00060863081	30.692233506808464	2.960103803447602e-146
SPD_1267	0.0	0.000198123481	48.991630331226624	6.902565264192147e-268
spr0576	0.0	0.0	nan	nan
guaC	0.00020777123711709144	0.001107842391	51.80049345491226	3.0031181033971476e-285
adcC	8.462330889295605e-05	0.000183293266	25.025026753838013	1.0877197626993016e-107
tig	0.001232856335827	0.003436359552	119.40675741337927	0.0
SP_1832	0.0	6.0480966e-05	25.37776557525849	4.7060341539925126e-110
SPD_1959	0.0007213273096573774	0.0007187666580000001	-0.5683756652403567	0.5699076441975675
SPD_1865	0.0	0.0	nan	nan
1-phosphofructokinase	0.00011174255149362249	0.000419085236	79.50466100853174	0.0
SPD_0585	0.0070743179152163	0.006947932531	-3.3757434638558963	0.0007645100129626771
cbpE	0.0011882357064138	0.00028762791300000003	-233.95416463945585	0.0
ecfT	0.0040960834365102	0.003188751042	-44.88909825728202	8.66830852565572e-242
marR	0.0009784735812133072	1.6595876e-05	-3898.70936578581	0.0
spr1546	0.0	0.0	nan	nan
SPD_0353	0.0	6.554196199999999e-05	12.028357900754699	3.218362637064955e-31
gpsB	0.001794427758771	0.001993579568	16.49071466019969	3.214890077071581e-54
SPD_1290	0.0029846092250867	0.000801592105	-446.49446566427457	0.0
pspA	0.00096844810553346	7.3613736e-05	-684.4332805437526	0.0
pck	0.0033061276240277	0.000651521598	-302.5923358399464	0.0
